Area,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Egypt,147805971.0,145187422.0,153370182.0,157899820.0,160617671.0,169592100.0,175834379.0,181776925.0,186705804.0,186575816.0,182510466.0,188816682.0,199691432.0,197329457.0,205290225.0,208128410.0,200667200.0,202836560.0,192512357.0,204764405.0,209502048.0,220286099.0,221785160.0,215768660.0
El Salvador,15391439.0,14887232.0,14160374.0,14129659.0,15856113.0,14587149.0,15695102.0,15904043.0,17126191.0,17868736.0,16026669.0,17441802.0,19503333.0,20589425.0,19735474.0,19147400.0,20795143.0,20706388.0,20507896.0,21427569.0,20970146.0,21603890.0,20801403.0,19650090.0
Equatorial Guinea,394283.0,409664.0,424014.0,440518.0,457102.0,476992.0,494945.0,515618.0,532672.0,546511.0,563377.0,580522.0,595888.0,599154.0,605783.0,644803.0,653494.0,667921.0,677571.0,690338.0,685857.0,688674.0,689997.0,648716.0
Eritrea,968933.0,1192503.0,837596.0,970466.0,1014416.0,1555340.0,1586168.0,1757390.0,955171.0,1235508.0,1258760.0,1429631.0,1427432.0,1410649.0,1427714.0,1393604.0,1413701.0,1448949.0,1445886.0,1451854.0,1453028.0,1462843.0,1465527.0,1402837.0
Estonia,4380439.0,3943203.0,3556254.0,3624961.0,3799128.0,4269028.0,3880742.0,4639187.0,4369292.0,4472502.0,4178170.0,4463084.0,4818770.0,4986992.0,5557437.0,6367732.0,4920760.0,5693339.0,4599040.0,6288246.0,6441860.0,5624057.0,6171202.0,4936973.0
Eswatini,9442498.0,9595188.0,10770644.0,10880588.0,11243392.0,12064860.0,11559521.0,11508071.0,11582856.0,11596699.0,11938649.0,12335062.0,12553248.0,12779178.0,12830272.0,12912151.0,12859982.0,13137235.0,13386097.0,13427992.0,13431877.0,12496441.0,13009245.0,12155022.0
Ethiopia,34006890.0,38052043.0,40222253.0,42211857.0,44608244.0,50611187.0,51292211.0,52747649.0,52889586.0,58861838.0,66962168.0,67954389.0,73680673.0,80381997.0,86777828.0,88474141.0,90894689.0,95617573.0,94564246.0,99260710.0,104278405.0,97956947.0,100331663.0,99668102.0
Europe,2636431449.0,2676095740.0,2719804841.0,2549522037.0,2850929328.0,2734633523.0,2673978278.0,2637252197.0,2859091056.0,2812466696.0,2633674000.0,2951163051.0,2775552033.0,2909363504.0,3088378009.0,2978161641.0,3056598398.0,3172201005.0,3047058621.0,3148645187.0,3044783393.0,3155166918.0,3064523233.0,2811280571.0
European Union (27),1830264594.0,1801164537.0,1829010678.0,1703979861.0,1915548223.0,1810517914.0,1719031568.0,1717767325.0,1795555150.0,1802269637.0,1739717899.0,1823496730.0,1750837485.0,1810521426.0,1926905652.0,1847923557.0,1865225277.0,1946150692.0,1860385067.0,1899418622.0,1868659795.0,1924105813.0,1822813296.0,1634872253.0
Faroe Islands,5054.0,5041.0,5020.0,5000.0,4976.0,4934.0,4892.0,4877.0,4918.0,4925.0,4899.0,5043.0,5130.0,5405.0,20056.0,20206.0,21170.0,20353.0,20034.0,20428.0,20420.0,20859.0,19894.0,20365.0
